['Date:20140106', 'Maturity:201402', 'Strike_price:7200', 'CallPut:call', 'close:1310']
['Date:20140106', 'Maturity:201402', 'Strike_price:7300', 'CallPut:call', 'close:1210']
['Date:20140106', 'Maturity:201402', 'Strike_price:7400', 'CallPut:call', 'close:1110']
['Date:20140106', 'Maturity:201402', 'Strike_price:7500', 'CallPut:call', 'close:1010']
['Date:20140106', 'Maturity:201402', 'Strike_price:7600', 'CallPut:call', 'close:915']
['Date:20140106', 'Maturity:201402', 'Strike_price:7700', 'CallPut:call', 'close:815']
['Date:20140106', 'Maturity:201402', 'Strike_price:7800', 'CallPut:call', 'close:715']
['Date:20140106', 'Maturity:201402', 'Strike_price:7900', 'CallPut:call', 'close:615']
['Date:20140106', 'Maturity:201402', 'Strike_price:8000', 'CallPut:call', 'close:525']
['Date:20140106', 'Maturity:201402', 'Strike_price:8100', 'CallPut:call', 'close:435']
['Date:20140106', 'Maturity:201402', 'Strike_price:8200', 'CallPut:call', 'close:340']
['Date:20140106', 'Maturity:201402', 'Strike_price:8300', 'CallPut:call', 'close:264']
['Date:20140106', 'Maturity:201402', 'Strike_price:8400', 'CallPut:call', 'close:192']
['Date:20140106', 'Maturity:201402', 'Strike_price:8500', 'CallPut:call', 'close:132']
['Date:20140106', 'Maturity:201402', 'Strike_price:8600', 'CallPut:call', 'close:87']
['Date:20140106', 'Maturity:201402', 'Strike_price:8700', 'CallPut:call', 'close:52']
['Date:20140106', 'Maturity:201402', 'Strike_price:8800', 'CallPut:call', 'close:28.5']
['Date:20140106', 'Maturity:201402', 'Strike_price:8900', 'CallPut:call', 'close:14.5']
['Date:20140106', 'Maturity:201402', 'Strike_price:9000', 'CallPut:call', 'close:6.6']
['Date:20140106', 'Maturity:201402', 'Strike_price:9100', 'CallPut:call', 'close:3']
['Date:20140106', 'Maturity:201402', 'Strike_price:9200', 'CallPut:call', 'close:1.2']
['Date:20140107', 'Maturity:201401W2', 'Strike_price:7900', 'CallPut:call', 'close:630']
['Date:20140107', 'Maturity:201401W2', 'Strike_price:8000', 'CallPut:call', 'close:530']
['Date:20140107', 'Maturity:201401W2', 'Strike_price:8100', 'CallPut:call', 'close:430']
['Date:20140107', 'Maturity:201401W2', 'Strike_price:8200', 'CallPut:call', 'close:330']
['Date:20140107', 'Maturity:201401W2', 'Strike_price:8250', 'CallPut:call', 'close:280']
['Date:20140107', 'Maturity:201401W2', 'Strike_price:8300', 'CallPut:call', 'close:230']
['Date:20140107', 'Maturity:201401W2', 'Strike_price:8350', 'CallPut:call', 'close:180']
['Date:20140107', 'Maturity:201401W2', 'Strike_price:8400', 'CallPut:call', 'close:131']
['Date:20140107', 'Maturity:201401W2', 'Strike_price:8450', 'CallPut:call', 'close:82']
['Date:20140107', 'Maturity:201401W2', 'Strike_price:8500', 'CallPut:call', 'close:35']
['Date:20140107', 'Maturity:201401W2', 'Strike_price:8550', 'CallPut:call', 'close:7.7']
['Date:20140107', 'Maturity:201401', 'Strike_price:6800', 'CallPut:call', 'close:1740']
['Date:20140107', 'Maturity:201401', 'Strike_price:6900', 'CallPut:call', 'close:1640']
['Date:20140107', 'Maturity:201401', 'Strike_price:7000', 'CallPut:call', 'close:1540']
['Date:20140107', 'Maturity:201401', 'Strike_price:7100', 'CallPut:call', 'close:1440']
['Date:20140107', 'Maturity:201401', 'Strike_price:7200', 'CallPut:call', 'close:1340']
['Date:20140107', 'Maturity:201401', 'Strike_price:7300', 'CallPut:call', 'close:1240']
['Date:20140107', 'Maturity:201401', 'Strike_price:7400', 'CallPut:call', 'close:1140']
['Date:20140107', 'Maturity:201401', 'Strike_price:7500', 'CallPut:call', 'close:1040']
['Date:20140107', 'Maturity:201401', 'Strike_price:7600', 'CallPut:call', 'close:945']
['Date:20140107', 'Maturity:201401', 'Strike_price:7700', 'CallPut:call', 'close:845']
