['Date:20180104', 'Maturity:201801W2', 'Strike_price:10950', 'CallPut:call', 'close:12.5']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:11000', 'CallPut:call', 'close:5.3']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:11050', 'CallPut:call', 'close:1.9']
['Date:20180104', 'Maturity:201801', 'Strike_price:8800', 'CallPut:call', 'close:2040']
['Date:20180104', 'Maturity:201801', 'Strike_price:8900', 'CallPut:call', 'close:1940']
['Date:20180104', 'Maturity:201801', 'Strike_price:9000', 'CallPut:call', 'close:1840']
['Date:20180104', 'Maturity:201801', 'Strike_price:9100', 'CallPut:call', 'close:1740']
['Date:20180104', 'Maturity:201801', 'Strike_price:9200', 'CallPut:call', 'close:1640']
['Date:20180104', 'Maturity:201801', 'Strike_price:9300', 'CallPut:call', 'close:1540']
['Date:20180104', 'Maturity:201801', 'Strike_price:9400', 'CallPut:call', 'close:1440']
['Date:20180104', 'Maturity:201801', 'Strike_price:9500', 'CallPut:call', 'close:1340']
['Date:20180104', 'Maturity:201801', 'Strike_price:9600', 'CallPut:call', 'close:1240']
['Date:20180104', 'Maturity:201801', 'Strike_price:9700', 'CallPut:call', 'close:1140']
['Date:20180104', 'Maturity:201801', 'Strike_price:9800', 'CallPut:call', 'close:1040']
['Date:20180104', 'Maturity:201801', 'Strike_price:9900', 'CallPut:call', 'close:940']
['Date:20180104', 'Maturity:201801', 'Strike_price:10000', 'CallPut:call', 'close:840']
['Date:20180104', 'Maturity:201801', 'Strike_price:10100', 'CallPut:call', 'close:740']
['Date:20180104', 'Maturity:201801', 'Strike_price:10200', 'CallPut:call', 'close:640']
['Date:20180104', 'Maturity:201801', 'Strike_price:10300', 'CallPut:call', 'close:540']
['Date:20180104', 'Maturity:201801', 'Strike_price:10400', 'CallPut:call', 'close:441']
['Date:20180104', 'Maturity:201801', 'Strike_price:10500', 'CallPut:call', 'close:346']
['Date:20180104', 'Maturity:201801', 'Strike_price:10600', 'CallPut:call', 'close:253']
