['Date:20150106', 'Maturity:201501', 'Strike_price:9200', 'CallPut:call', 'close:41']
['Date:20150106', 'Maturity:201501', 'Strike_price:9300', 'CallPut:call', 'close:17.5']
['Date:20150106', 'Maturity:201501', 'Strike_price:9400', 'CallPut:call', 'close:6.6']
['Date:20150106', 'Maturity:201501', 'Strike_price:9500', 'CallPut:call', 'close:2.9']
['Date:20150106', 'Maturity:201501', 'Strike_price:9600', 'CallPut:call', 'close:1.3']
['Date:20150106', 'Maturity:201502', 'Strike_price:7500', 'CallPut:call', 'close:1550']
['Date:20150106', 'Maturity:201502', 'Strike_price:7600', 'CallPut:call', 'close:1450']
['Date:20150106', 'Maturity:201502', 'Strike_price:7700', 'CallPut:call', 'close:1350']
['Date:20150106', 'Maturity:201502', 'Strike_price:7800', 'CallPut:call', 'close:1250']
['Date:20150106', 'Maturity:201502', 'Strike_price:7900', 'CallPut:call', 'close:1150']
['Date:20150106', 'Maturity:201502', 'Strike_price:8000', 'CallPut:call', 'close:1050']
['Date:20150106', 'Maturity:201502', 'Strike_price:8100', 'CallPut:call', 'close:955']
['Date:20150106', 'Maturity:201502', 'Strike_price:8200', 'CallPut:call', 'close:865']
['Date:20150106', 'Maturity:201502', 'Strike_price:8300', 'CallPut:call', 'close:770']
['Date:20150106', 'Maturity:201502', 'Strike_price:8400', 'CallPut:call', 'close:675']
['Date:20150106', 'Maturity:201502', 'Strike_price:8500', 'CallPut:call', 'close:575']
['Date:20150106', 'Maturity:201502', 'Strike_price:8600', 'CallPut:call', 'close:488']
['Date:20150106', 'Maturity:201502', 'Strike_price:8700', 'CallPut:call', 'close:406']
['Date:20150106', 'Maturity:201502', 'Strike_price:8800', 'CallPut:call', 'close:325']
['Date:20150106', 'Maturity:201502', 'Strike_price:8900', 'CallPut:call', 'close:259']
['Date:20150106', 'Maturity:201502', 'Strike_price:9000', 'CallPut:call', 'close:200']
['Date:20150106', 'Maturity:201502', 'Strike_price:9100', 'CallPut:call', 'close:147']
['Date:20150106', 'Maturity:201502', 'Strike_price:9200', 'CallPut:call', 'close:103']
['Date:20150106', 'Maturity:201502', 'Strike_price:9300', 'CallPut:call', 'close:69']
['Date:20150106', 'Maturity:201502', 'Strike_price:9400', 'CallPut:call', 'close:44.5']
['Date:20150106', 'Maturity:201502', 'Strike_price:9500', 'CallPut:call', 'close:26']
['Date:20150106', 'Maturity:201502', 'Strike_price:9600', 'CallPut:call', 'close:15']
['Date:20150106', 'Maturity:201502', 'Strike_price:9700', 'CallPut:call', 'close:8']
['Date:20150106', 'Maturity:201502', 'Strike_price:9800', 'CallPut:call', 'close:4.6']
['Date:20150106', 'Maturity:201502', 'Strike_price:9900', 'CallPut:call', 'close:2.1']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:8400', 'CallPut:call', 'close:670']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:8500', 'CallPut:call', 'close:570']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:8600', 'CallPut:call', 'close:470']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:8700', 'CallPut:call', 'close:370']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:8800', 'CallPut:call', 'close:270']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:8850', 'CallPut:call', 'close:221']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:8900', 'CallPut:call', 'close:172']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:8950', 'CallPut:call', 'close:131']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:9000', 'CallPut:call', 'close:98']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:9050', 'CallPut:call', 'close:67']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:9100', 'CallPut:call', 'close:45']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:9150', 'CallPut:call', 'close:26.5']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:9200', 'CallPut:call', 'close:13.5']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:9250', 'CallPut:call', 'close:6.2']
['Date:20150107', 'Maturity:201501W2', 'Strike_price:9300', 'CallPut:call', 'close:2.6']
['Date:20150107', 'Maturity:201501', 'Strike_price:7200', 'CallPut:call', 'close:1850']
['Date:20150107', 'Maturity:201501', 'Strike_price:7300', 'CallPut:call', 'close:1750']
['Date:20150107', 'Maturity:201501', 'Strike_price:7400', 'CallPut:call', 'close:1650']
