['time:1289404800000', 'tradeDate:1289404800000', 'open:8465', 'high:8480', 'low:8446', 'close:8451', 'volume:58177']
['time:1289491200000', 'tradeDate:1289491200000', 'open:8435', 'high:8438', 'low:8301', 'close:8314', 'volume:130015']
['time:1277654400000', 'tradeDate:1277654400000', 'open:7334', 'high:7375', 'low:7326', 'close:7362', 'volume:57111']
['time:1283097600000', 'tradeDate:1283097600000', 'open:7742', 'high:7793', 'low:7688', 'close:7718', 'volume:106064']
['time:1283184000000', 'tradeDate:1283184000000', 'open:7653', 'high:7658', 'low:7536', 'close:7557', 'volume:119636']
['time:1274284800000', 'tradeDate:1274284800000', 'open:7509', 'high:7514', 'low:7356', 'close:7357', 'volume:129922']
['time:1274371200000', 'tradeDate:1274371200000', 'open:7164', 'high:7247', 'low:7112', 'close:7209', 'volume:121989']
['time:1274803200000', 'tradeDate:1274803200000', 'open:7122', 'high:7154', 'low:7045', 'close:7122', 'volume:128300']
['time:1274889600000', 'tradeDate:1274889600000', 'open:7103', 'high:7234', 'low:7056', 'close:7202', 'volume:133780']
['time:1274630400000', 'tradeDate:1274630400000', 'open:7224', 'high:7319', 'low:7214', 'close:7274', 'volume:100810']
['time:1274716800000', 'tradeDate:1274716800000', 'open:7188', 'high:7189', 'low:7006', 'close:7052', 'volume:149343']
['time:1274976000000', 'tradeDate:1274976000000', 'open:7289', 'high:7328', 'low:7221', 'close:7280', 'volume:127565']
['time:1282579200000', 'tradeDate:1282579200000', 'open:7920', 'high:7956', 'low:7884', 'close:7887', 'volume:90103']
['time:1265126400000', 'tradeDate:1265126400000', 'open:7456', 'high:7528', 'low:7390', 'close:7501', 'volume:139624']
['time:1265040000000', 'tradeDate:1265040000000', 'open:7580', 'high:7603', 'low:7346', 'close:7371', 'volume:143485']
['time:1264953600000', 'tradeDate:1264953600000', 'open:7569', 'high:7634', 'low:7442', 'close:7513', 'volume:133007']
['time:1292256000000', 'tradeDate:1292256000000', 'open:8752', 'high:8792', 'low:8712', 'close:8738', 'volume:98988']
['time:1292169600000', 'tradeDate:1292169600000', 'open:8728', 'high:8764', 'low:8725', 'close:8737', 'volume:60110']
['time:1265385600000', 'tradeDate:1265385600000', 'open:7229', 'high:7236', 'low:7056', 'close:7155', 'volume:102594']
['time:1265299200000', 'tradeDate:1265299200000', 'open:7300', 'high:7321', 'low:7130', 'close:7201', 'volume:127511']
['time:1265212800000', 'tradeDate:1265212800000', 'open:7503', 'high:7538', 'low:7460', 'close:7507', 'volume:90229']
['time:1265644800000', 'tradeDate:1265644800000', 'open:7171', 'high:7344', 'low:7151', 'close:7316', 'volume:115841']
['time:1265558400000', 'tradeDate:1265558400000', 'open:7155', 'high:7235', 'low:7125', 'close:7160', 'volume:99368']
['time:1288281600000', 'tradeDate:1288281600000', 'open:8320', 'high:8327', 'low:8257', 'close:8302', 'volume:99968']
['time:1292860800000', 'tradeDate:1292860800000', 'open:8783', 'high:8847', 'low:8763', 'close:8846', 'volume:76748']
['time:1277049600000', 'tradeDate:1277049600000', 'open:7440', 'high:7525', 'low:7408', 'close:7523', 'volume:114904']
['time:1293120000000', 'tradeDate:1293120000000', 'open:8898', 'high:8898', 'low:8867', 'close:8880', 'volume:49958']
['time:1289232000000', 'tradeDate:1289232000000', 'open:8440', 'high:8471', 'low:8433', 'close:8467', 'volume:58677']
['time:1285776000000', 'tradeDate:1285776000000', 'open:8218', 'high:8232', 'low:8186', 'close:8219', 'volume:81016']
['time:1288886400000', 'tradeDate:1288886400000', 'open:8478', 'high:8500', 'low:8443', 'close:8463', 'volume:79141']
['time:1288800000000', 'tradeDate:1288800000000', 'open:8342', 'high:8388', 'low:8325', 'close:8368', 'volume:77018']
['time:1288713600000', 'tradeDate:1288713600000', 'open:8411', 'high:8423', 'low:8283', 'close:8324', 'volume:136324']
['time:1288195200000', 'tradeDate:1288195200000', 'open:8310', 'high:8355', 'low:8282', 'close:8341', 'volume:91823']
['time:1288540800000', 'tradeDate:1288540800000', 'open:8325', 'high:8429', 'low:8325', 'close:8393', 'volume:107257']
['time:1282492800000', 'tradeDate:1282492800000', 'open:7880', 'high:8003', 'low:7874', 'close:7952', 'volume:88947']
['time:1287590400000', 'tradeDate:1287590400000', 'open:8080', 'high:8144', 'low:8063', 'close:8088', 'volume:111011']
['time:1287676800000', 'tradeDate:1287676800000', 'open:8122', 'high:8142', 'low:8097', 'close:8142', 'volume:67964']
['time:1282233600000', 'tradeDate:1282233600000', 'open:7883', 'high:7900', 'low:7860', 'close:7886', 'volume:65098']
['time:1275235200000', 'tradeDate:1275235200000', 'open:7302', 'high:7333', 'low:7255', 'close:7325', 'volume:81072']
['time:1269187200000', 'tradeDate:1269187200000', 'open:7830', 'high:7840', 'low:7745', 'close:7802', 'volume:92460']
['time:1282665600000', 'tradeDate:1282665600000', 'open:7843', 'high:7844', 'low:7673', 'close:7679', 'volume:136835']
['time:1280419200000', 'tradeDate:1280419200000', 'open:7685', 'high:7699', 'low:7638', 'close:7682', 'volume:83628']
['time:1277395200000', 'tradeDate:1277395200000', 'open:7341', 'high:7385', 'low:7302', 'close:7324', 'volume:101937']
['time:1277308800000', 'tradeDate:1277308800000', 'open:7431', 'high:7456', 'low:7398', 'close:7427', 'volume:69407']
['time:1292774400000', 'tradeDate:1292774400000', 'open:8817', 'high:8832', 'low:8728', 'close:8762', 'volume:101924']
['time:1269273600000', 'tradeDate:1269273600000', 'open:7850', 'high:7863', 'low:7756', 'close:7804', 'volume:90596']
['time:1272556800000', 'tradeDate:1272556800000', 'open:8128', 'high:8152', 'low:7966', 'close:7989', 'volume:131598']
['time:1293379200000', 'tradeDate:1293379200000', 'open:8866', 'high:8918', 'low:8832', 'close:8884', 'volume:82851']
['time:1277222400000', 'tradeDate:1277222400000', 'open:7430', 'high:7478', 'low:7388', 'close:7437', 'volume:98541']
['time:1277136000000', 'tradeDate:1277136000000', 'open:7480', 'high:7506', 'low:7468', 'close:7480', 'volume:61354']
['time:1278518400000', 'tradeDate:1278518400000', 'open:7568', 'high:7571', 'low:7500', 'close:7532', 'volume:96454']
['time:1278604800000', 'tradeDate:1278604800000', 'open:7540', 'high:7582', 'low:7522', 'close:7566', 'volume:70477']
['time:1278345600000', 'tradeDate:1278345600000', 'open:7262', 'high:7458', 'low:7246', 'close:7456', 'volume:124317']
['time:1278432000000', 'tradeDate:1278432000000', 'open:7436', 'high:7455', 'low:7406', 'close:7447', 'volume:79243']
['time:1278259200000', 'tradeDate:1278259200000', 'open:7185', 'high:7325', 'low:7168', 'close:7324', 'volume:108042']
['time:1278000000000', 'tradeDate:1278000000000', 'open:7135', 'high:7216', 'low:7116', 'close:7165', 'volume:105182']
['time:1278950400000', 'tradeDate:1278950400000', 'open:7589', 'high:7603', 'low:7517', 'close:7560', 'volume:92650']
['time:1277913600000', 'tradeDate:1277913600000', 'open:7123', 'high:7147', 'low:7061', 'close:7101', 'volume:113002']
['time:1292515200000', 'tradeDate:1292515200000', 'open:8777', 'high:8840', 'low:8775', 'close:8809', 'volume:83266']
['time:1290614400000', 'tradeDate:1290614400000', 'open:8309', 'high:8362', 'low:8308', 'close:8341', 'volume:70220']
['time:1292947200000', 'tradeDate:1292947200000', 'open:8858', 'high:8872', 'low:8834', 'close:8850', 'volume:66539']
['time:1291046400000', 'tradeDate:1291046400000', 'open:8400', 'high:8450', 'low:8371', 'close:8401', 'volume:119667']
['time:1293724800000', 'tradeDate:1293724800000', 'open:8892', 'high:8997', 'low:8892', 'close:8988', 'volume:88956']
['time:1278864000000', 'tradeDate:1278864000000', 'open:7590', 'high:7654', 'low:7528', 'close:7533', 'volume:97622']
['time:1281888000000', 'tradeDate:1281888000000', 'open:7843', 'high:7957', 'low:7830', 'close:7946', 'volume:85244']
['time:1281974400000', 'tradeDate:1281974400000', 'open:7935', 'high:7965', 'low:7925', 'close:7941', 'volume:66398']
['time:1281542400000', 'tradeDate:1281542400000', 'open:7778', 'high:7824', 'low:7764', 'close:7800', 'volume:85123']
['time:1281628800000', 'tradeDate:1281628800000', 'open:7816', 'high:7925', 'low:7803', 'close:7911', 'volume:95376']
['time:1272470400000', 'tradeDate:1272470400000', 'open:8036', 'high:8065', 'low:8011', 'close:8043', 'volume:70064']
['time:1272384000000', 'tradeDate:1272384000000', 'open:7961', 'high:8059', 'low:7920', 'close:8035', 'volume:116469']
['time:1272297600000', 'tradeDate:1272297600000', 'open:8148', 'high:8152', 'low:8109', 'close:8130', 'volume:60876']
['time:1272211200000', 'tradeDate:1272211200000', 'open:8077', 'high:8162', 'low:8070', 'close:8148', 'volume:87141']
['time:1266854400000', 'tradeDate:1266854400000', 'open:7534', 'high:7552', 'low:7451', 'close:7535', 'volume:90651']
['time:1266768000000', 'tradeDate:1266768000000', 'open:7708', 'high:7708', 'low:7553', 'close:7558', 'volume:49687']
